标题,作者,发布时间,播放量,点赞量,评论量,收藏量
HM阿迪耐克，那些抵制新疆棉的品牌现在怎么样了？,刘哔电影,2021-05-18 18:54:02,1217195,84359,6245,5134
抵制新疆棉的HM，一年多后是什么样子。,本西蒙斯在天上,2022-06-30 03:01:18,71,1,0,1
HM抵制新疆棉的背后，暗藏中美角力，阴谋阳谋的精彩博弈,类仙流,2021-03-27 08:00:11,50406,2229,56,1714
47个污蔑并抵制新疆棉花的品牌 (最新最全)【数据可视化】,_江之岛盾子_,2021-03-31 17:28:06,2098734,130797,9391,37198
抵制新疆棉？揭露HM公司真面目，跳梁小丑罢了。,静电小法师,2021-03-25 10:35:01,13540,1916,152,204
为何耐克HM宁愿放弃中国市场，也要抵制新疆棉？背后藏着一盘大棋,欢喜哥说事,2021-03-27 20:06:06,118379,2898,279,297
HM抵制新疆棉 各大电商平台已经全部下架HM产品 自作孽不可活,老豆呵,2021-03-25 08:17:46,210,37,5,0
宋茜解约HM遭痛批，300万恶意评论毛骨悚然！新疆棉事件只是冰山一角，爱国艺人何去何从？,清蒸鲤娱,2021-03-27 18:41:29,157380,9866,646,375
HM垃圾质量，有新疆棉就怪了，新疆棉质量多好啊！,取个蓝色的名字,2020-10-07 17:05:05,319,3,3,1
hm出来洗地了，抵制hm，hm探店，垃圾hm滚出中国，hm抵制新疆棉,大厂主,2021-03-25 13:13:28,862,10,1,0
抵制新疆棉花的洋人品牌，不止HM和耐克！【数据可视化】,_江之岛盾子_,2021-03-27 20:08:52,936579,81441,5106,12851
HM抵制新疆棉，我想说：我支持新疆棉花！,多多君的快乐生活,2021-03-27 23:11:07,2547,108,16,35
【寒山怎么看】HM为什么被重点抵制 起底新疆棉事件中欧洲付出的代价,寒山寺门客,2021-04-11 10:06:47,381,25,5,9
5个HM、ZARA、优衣库替代品牌推荐！我支持新疆棉！阿迪达斯之类的无脑黑快快退散,勺勺的新生活,2021-03-26 02:23:16,7855,225,31,54
耐克被曝发布抵制新疆棉声明，球鞋在得物等平台仍正常交易,南方都市报,2021-03-25 14:28:34,262272,14737,1652,453
[新疆棉]耐克阿迪hm被抵制时你是否还记得曾经的韩国乐天抵制行动,魏璎珞喂嘤嘤嘤萝,2021-03-26 10:39:16,410,15,12,1
黄轩，宋茜，王一博，等一致抵制H&amp;M各个电商下架HM产品，耐克等公司抵制新疆棉,天宇沈阳的筱筱生活,2021-03-25 10:07:46,246,46,2,0
HM抵制新疆棉持续发酵！王一博官宣解约耐克，为何肖战被指强蹭热度,娱圈侃情,2021-03-26 20:33:55,279,5,0,1
洪晃发视频痛批HM，陈学冬直接下单撑新疆棉，仍未解约明星引不满,盖饭娱乐官方号,2021-03-25 14:42:17,35348,977,75,36
前有HM耐克阿迪抵制新疆棉，后有特斯拉强势抹黑不妥协,博君笑-,2021-04-20 09:37:14,625,19,1,1
背叛中国终遭报应！季子越被国科大开除，诋毁新疆棉下场让人解气,西柚娱事,2021-04-10 17:53:33,958058,18483,1697,1223
污蔑并抵制新疆棉花的洋人品牌(全)，不止HM耐克阿迪！,_江之岛盾子_,2021-03-29 13:40:55,26143,1773,190,236
HM等抵制新疆棉，虚荣者把它们惯的，支持国产品牌，太老实被欺负(HM、耐克、阿迪、优衣库、新百伦等G出中国！吃我们喝我们还污蔑我们！),吉哥说实话,2021-03-25 15:45:10,676,23,5,1
斗鱼登HM开屏广告，说好的抵制新疆棉支持中国造呢,小周巨可,2021-10-11 12:37:49,593,68,10,2
无印良品独家回应：我们在继续使用新疆棉,环球网,2021-03-25 14:27:35,142620,3695,508,182
元首对HM抵制新疆棉的愤怒,君肥肥极_雪莱滴,2021-04-08 00:07:39,48,5,0,2
【现场实拍】HM抵制新疆棉花惹众怒，店员回应：客流未受影响,知之有时,2021-03-25 10:37:30,83858,760,222,19
HM等众多品牌就新疆棉问题涉嫌辱华，无耻之级，支持国产品牌做大做强,佛说人生逗鱼,2021-03-26 13:56:47,319,3,0,1
新疆的事我们最有发言权|新疆民众回应HM停止购买新疆棉花,CGTN,2021-03-25 17:40:00,268935,8559,361,454
来看看重庆南坪hm实体店的封禁与下架实况！碰瓷的下场，捍卫国家利益高于一切，只用新疆棉！,齐木宝宝,2021-03-27 23:10:14,206,6,1,0
广州正佳广场周末现场实拍四个月后抹黑新疆棉HM店经营状况如何？,渐冻侠觉哥,2021-07-22 10:13:20,102,2,0,0
那些辱华品牌，都只有一个下场。支持新疆棉 hm,八只小猪啊啊啊,2021-05-22 15:30:30,226,9,0,0
新疆棉&amp;大学生必须抵制HM阿迪耐克?国潮or外潮？和爱国挂钩？国产能崛起吗？抄袭是最大通病？请听西安欧亚学院&amp;四川大学的声音（UFO青峰会第二期采访）,请让我站在你眼中,2021-04-07 11:46:20,196,5,1,2
"我是服装设计师, 对于新疆棉花事件我有话说 | HM碰瓷新疆棉",小眼睛美少女,2021-04-01 17:19:31,8898,1766,122,225
HM、阿迪达斯污蔑新疆棉之后，门可罗雀的样子,哈尼Uncle,2021-03-28 21:49:57,77,1,0,1
HM 好像因为新疆棉真的没人去了哈哈,jail_log,2021-04-01 00:26:42,154,1,0,0
HM关闭中国首店，HM中国已关停60家门店,四川观察,2022-06-28 18:25:11,121606,14538,1116,272
抵制耐克阿迪优衣库HM？那穿啥？这些品牌都能穿！,球鞋师说,2021-03-27 18:13:02,47836,1702,481,555
10年耐克粉告诉你，这次抵制新疆棉花背后的根本目的！,木木说鞋,2021-03-27 17:30:41,1498,60,29,6
武传采访｜HM新疆棉事件你有什么看法,武汉传媒学院团团,2021-04-21 22:09:50,290,8,1,0
支持新疆棉，不买耐克hm，一起点赞加油,大厂主,2021-03-26 13:04:29,373,15,1,0
耐克HM串联美企愿做棋子，提前开启霸权之争，新疆棉背后的较量。,大力经济,2021-03-27 09:34:42,179,3,1,2
今天H&amp;M倒闭了吗？,早睡选手阿瑶,2022-03-03 17:20:05,18297,315,72,23
抵制新疆棉？我觉得还是姜文说的对,子思笔1917,2021-03-25 23:19:34,3345878,62399,4064,7432
H&amp;M算哪块小饼干？新疆帅气男主播用维吾尔语力挺新疆棉,青蜂侠-Bee,2021-03-27 08:22:19,258881,22633,820,1452
太损了！新疆棉风波过后，去耐克的人竟然增加了？,穿越蛋白质,2021-04-16 19:05:12,33917,1478,75,83
新疆棉花中的两面派品牌，当我们中国人是傻子？HM、无印良品、亚瑟士、Zara！,_江之岛盾子_,2021-04-03 16:33:04,102223,4011,227,713
躲在耐克、HM背后带头抵制新疆棉花的BCI，究竟是个什么组织？,青蜂侠-Bee,2021-03-25 14:36:04,34213,1431,138,132
别忘了H&amp;M背后的它！造谣抵制新疆棉花，起底BCI,大象新闻,2021-03-25 23:24:11,2329,317,14,21
帝师:采访从HM购物的顾客是个什么样的心态？不知道新疆棉事件？无话可说！,账号注销6314165,2021-05-14 18:11:46,228,3,0,1
「辱华是政治正确？」从H&amp;M的新疆棉事件到Olivia rodrigo的辱华驾照,西瓜啤酒汁,2021-04-12 12:00:09,19770,788,28,180
抵制新疆棉花 再见吧，HM,老汪财经日记,2021-03-25 12:18:19,46840,1497,166,78
走访在重庆沙坪坝的禁用新疆棉的HM店,simpleature,2021-03-27 23:09:02,163,2,1,0
也是打脸了！BCI官网下架抵制新疆棉花声明,东方今报,2021-04-15 12:48:46,913,33,4,5
央视点评HM拒收新疆棉花事件，抵制HM算我一个！,琪中琪毒,2021-03-26 11:58:04,3020,54,1,17
HM碰瓷新疆棉，愚蠢至极！以后支持国货吧。,阿西带你看世界,2021-03-25 19:22:32,46,2,0,0
HM为什么抵制新疆长绒棉？【爆爆|高考热点】时事地理,爆爆的计划本,2021-03-27 00:02:02,72237,3552,89,2437
对于新疆棉，这就是娱乐圈的态度！,圈里短鉴,2021-03-26 14:05:10,735,6,3,0
【飘飘】H&amp;M没资格抵制新疆棉花,柳飘飘了吗,2021-03-25 22:25:16,340910,33911,1017,5956
淘客如何利用蹭HM新疆棉的热点年入百万暴力引流，赚到钱才是王道不是吗,小李广州创业记,2021-03-27 18:46:03,188,3,1,4
棉花暴徒的出现与打工人的眼泪，新疆棉背后的真正阴谋究竟是什么,东郭老贼,2021-03-27 11:10:10,23839,1812,138,233
建议背诵！新疆棉花产业，5个世界顶级冷知识,厂花蛋蛋姐,2021-03-25 22:29:38,471125,53101,944,4868
【什么都能玩】关于hm耐克等品牌在BCI新疆棉花事件中的辱华反应与网民新一轮的网络暴力苗头 我的一些理性爱国的思考,什么都能玩,2021-03-25 15:51:01,8345,170,92,33
HM抵制新疆棉花事件后新疆本地的阿迪达斯门店店员们会有什么样的态度和看法呢？,特务仙人,2021-03-27 14:02:12,222,4,4,0
HM抵制新疆棉花遭全网下架，实拍四川优衣库Zara门店，现状惨不忍睹,渺渺环游记,2021-03-26 16:14:54,4384,38,7,5
从投资角度聊聊HM、新疆棉事件，支持国货品牌崛起！ #基金  #投资  #新疆棉,招财小k妹,2021-03-25 19:34:14,123,3,0,0
西方围剿新疆棉花的真实目的是什么？H&amp;M耐克等商家抵制新疆棉意欲何为？,幻影奇观LEO,2021-03-29 18:04:11,231,5,0,3
论新疆棉对大A股的影响！耐克阿迪以及HM概念股全线大跌，股民大快人心：活该！,寥c4淤若,2021-03-27 13:45:45,1122,127,18,89
HM抵制新疆棉花，抵制一切辱华行为,何青枫,2021-03-26 23:48:15,1926,231,12,11
hm抵制新疆棉花,相貌平平龙文轩,2021-03-25 14:20:27,132,3,1,0
今天HM刷屏了！抵制新疆棉花惹众怒，中国团结的力量让人感动！,师子户外骑士礼,2021-03-25 17:46:49,99,2,0,0
央视网评H&amp;M声明:何必扭扭捏捏【HM最新声明全文没提新疆】,bili_526044134,2021-04-01 00:09:53,1268,26,7,5
新疆棉花遭抵制，这些“国际大牌”到底在想什么？国货快崛起吧,UPICKTEST,2021-03-26 22:39:13,159,6,0,3
HM“抵制新疆棉花”，一场设计许久的阴谋，今天迎来了它的报应。,小汉堡哦,2021-03-26 12:14:23,176,4,0,2
H&amp;M抵制新疆产品引众怒 #成都大悦城HM摘牌,三顺家的大闺女,2021-03-25 16:50:43,834,22,0,0
碰瓷中国的洋品牌遭外国网友吐槽:根本用不起新疆棉。,特梅普ShiTube,2021-03-26 09:00:43,53636,2022,108,99
HM最新声明毫无诚意，坚决抵制，果断扔掉买过的裤子！,小妖的记忆,2021-03-31 19:52:53,407,11,5,1
H&amp;M抵制新疆棉花 郭志坚：原来这个品牌叫荒谬！,长安街知事,2021-03-25 00:39:37,158344,8792,616,409
HM抵制新疆棉花，与中国说再见,蕊姐讲财经,2021-03-26 19:55:53,88,3,0,0
商务部：纯白无瑕的新疆棉花不容任何势力抹黑玷污,新华社快看,2021-03-25 17:07:43,5465,1388,32,16
HM发布最新声明，全文只字不提新疆,海博TV,2021-03-31 23:30:18,75,2,0,0
【凤凰连线】BCI宣称禁止与新疆棉合作？棉商：我们不稀罕！,知之有时,2021-03-25 19:16:41,17769,516,65,21
抵制HM？先抵制国内这些不良企业吧！蒙牛伊利腾讯字节跳动……,成都吉音吉他仓哥,2021-03-27 15:02:54,732,20,2,1
上海南京东路H&amp;M现状 热闹依旧,AdrianZhong,2021-03-27 16:01:36,15994,73,69,9
薇娅1小时卖出2000多万元新疆棉制品，新疆棉制品有多受欢迎【薇娅直播带货新疆棉，人气爆棚现货全被抢光】,bili_526044134,2021-03-27 12:20:58,8640,284,31,7
HM等抵制新疆棉花 对中国有损害吗？,vivi说销售管理,2021-03-25 19:36:46,93,4,1,0
央视评HM抵制新疆棉花，多家电商平台纷纷下架HM。,小洋与苏宝宝,2021-03-25 19:30:14,308,148,8,2
HM抵制新疆棉花，薇娅和多平台下架HM产品,也许额额,2021-03-25 17:33:35,435,13,3,0
HM耐克等品牌抵制新疆棉花？新疆小伙还原真相，支持国货！,一心解说-,2021-03-28 13:23:34,6085,553,60,29
HM后服装商集体辱华？背后的BCI是什么？是什么在阻拦中国新疆棉花走向世界？！,酒痴东梦,2021-03-25 16:18:55,705388,44111,1548,9686
实拍！HM新疆棉持续发酵，位于中国第一街的旗舰店现在怎么样了？,林成一,2021-04-01 16:31:10,97,2,1,0
抵制新疆棉的耐克还是有好多人购买！周五下午实拍探访西安某奥莱店……,小妖的记忆,2021-03-26 21:43:26,772,13,7,1
抵制HM和耐克,冯PD开麦拉,2021-03-28 14:41:47,60,1,2,0
HM 新疆棉花 外国人看到BBC拍新疆棉纪录片，全是神评论！,硬核胡椒,2021-03-25 21:22:54,3429,30,3,7
#央视评HM抵制新疆棉花#HM到底是什么组织,与春夏秋冬一起看四季,2021-03-25 14:19:46,426,6,0,0
衣服不好别怪棉花，抵制HM,冯PD开麦拉,2021-03-28 14:46:46,68,1,3,1
大快人心！一年关店60多家，HM到底做了啥？央视痛批一针见血,商圈第一线,2022-06-29 17:04:33,34,1,0,0
躲在耐克、HM背后带头抵制新疆棉花的BCI是什么组织？,牛金学长,2021-03-28 13:10:07,87,2,0,0
抵制新疆棉事件|明星解约是否需要支付天价违约金？！,Tannieguo,2021-04-03 21:38:46,98,5,6,0
央视评HM抵制新疆棉花 : 只会换来中国消费者“自卫”,周樟壽,2021-03-29 09:30:26,21,0,0,0
抵制新疆棉花？HM老阴阳人了,微苦的杏仁,2021-04-09 14:47:45,1081,66,12,9
HM、耐克、阿迪来看看真正的新疆采棉花！是时候破除偏见了,南瓜姑娘爱吃瓜,2021-03-26 06:10:45,2004,112,6,5
【会员分享第07期】为了中国，为了新疆棉，抵制耐克阿迪HM匡威，我要送大家百度网盘会员百度云网盘svip超级会员在线解压下载不限速！,i小丑鸭,2021-03-29 13:18:01,349,2,3,4
【寒山】时至今日对于新疆棉事件，国人可有什么看法？,寒山寺门客,2021-04-18 17:03:07,419,17,4,9
郑州 女子H&amp;M实体店门口举牌抵制：有人明知道HM抵制新疆棉花但还会选择 不知道他们怎么想的,赫日中天,2021-03-25 21:45:07,842,24,29,5
现场砸挂HM，德云社新秀高筱贝捍卫新疆棉，而她竟是幕后黑手,小张就好了,2022-04-16 16:37:51,269,1,0,0
面对抵制，耐克竟然搞贿赂！？,芒果猫_MangoCat,2021-03-25 17:58:19,126843,1452,151,30
HM抵制新疆棉花？黄轩工作室：坚决反对造谣抹黑国家行为，已无合作,川观新闻,2021-03-24 17:27:11,5025,176,32,1
抵制新疆棉的品牌,续杯美好人生,2021-03-25 13:38:50,2256,17,2,0
【支持新疆棉】H&amp;M这几块破布不买也罢，进来看秒杀它的国产服装品牌,笑爷Zoe,2021-03-25 16:03:26,929,38,9,12
就H&amp;M也配抵制新疆棉？它根本买不起好吗！,Sako酱啊,2021-03-26 18:31:59,90039,10340,390,1294
HM公然辱华  明星 博主拒为其代言,深圳卫视直新闻,2021-03-25 14:46:00,2793,119,3,7
棉花也能做珍珠?请用另一种方法支持新疆棉！,打铁张师傅,2021-03-29 18:00:09,25429,1780,45,128
耐克抵制新疆棉后被国人反击，日本人听完都懵了，中国人太团结了,回国的橘子,2021-03-25 20:38:14,769583,8284,1115,372
新疆采棉早已实现机械化，纯白无瑕的新疆棉花不容任何势力抹黑玷污！ #新疆棉花# #HM与耐克惹众怒遭抵制# #现代农业,三月的歌,2021-04-07 22:01:16,44,7,0,0
抵制种花家的新疆棉花？用那兔的三个片段回应，支持新疆棉！,Doctor_Ezio,2021-03-25 17:30:05,2693,98,10,8
可能是全网最全的抵制新疆棉花品牌名单（二）,勒布朗丨陈佩斯,2021-03-26 16:07:32,946,25,4,9
1分钟看HM事件多方反应：艺人停止合作，各平台下架产品和信息,励志少女派,2021-03-25 12:21:16,19100,367,37,16
德国女友揭露H＆M抵制新疆棉花背后的本质，并这样处理他家的衣服,维多利亚在德国,2021-03-25 20:49:00,232716,14424,539,749
新疆棉事件中一众单方解约的明星们，违约金怎么办？？？,法师也得讲法律,2021-03-27 22:21:36,451,15,4,3
新疆棉罪魁祸首许秀中，为获绿卡不惜卖国求荣，如今沦为过街老鼠,历史探查员,2021-09-26 08:52:59,6306,149,16,20
正面教材陈冠希为国争光，李湘却助纣为虐！新疆棉实为照妖镜？,陈叔讲电影,2021-04-01 19:36:26,251,16,5,1
重庆这家HM店关门了，看你还抵制新疆棉花!其他省的店如何？,云鬼之旅,2021-03-27 16:50:04,282,3,0,0
HM的官方回复来了，继续吃瓜，过河拆桥，看情况不妙就服软，滚吧,是大A吖,2021-03-25 01:26:43,34271,126,58,13
老外回应国外质疑:H&amp;M在中国还有希望吗？中国人用实际行动告诉你,路卡和瑞丽,2021-04-01 12:30:20,231231,9443,583,300
解除与耐克的合作，垃圾Nike滚出中国，支持新疆棉,大厂主,2021-03-25 21:20:18,289,6,3,1
HM抵制新疆棉花，惨遭全网下架，台湾女孩呼吁支持国产货！,台湾女孩鲈鱼,2021-03-25 17:11:58,1466,194,17,6
"抵制h&amp;m,抵制阿迪，抵制耐克",我是王乐观,2021-03-26 23:33:10,232,2,0,0
央视热评HM事件，你还买吗？H&amp;M抵制新疆棉花，多家电商平台下架其产品！！,大洼融媒体,2021-03-25 10:12:18,692,11,0,1
【寒山怎么看】带你了解新疆棉事件,寒山寺门客,2021-04-07 21:33:49,1135,59,11,17
新疆棉农怒斥西方造谣者：我们过得很幸福，闭上你们的嘴巴,青蜂侠-Bee,2021-03-29 17:04:22,57209,2304,91,113
淘宝下架HM所有商品！！！HM中伤中国，肆意栽赃，抵制新疆棉花，逾越底线！国家主权不容侵犯！,看过风的味道,2021-03-24 22:40:07,1482,45,8,0
新疆棉花，为啥在国外也闹的沸沸扬扬？？,傻白在美国,2021-03-29 17:42:30,72244,3779,278,243
致抵制新疆棉花老板们的一封信，通过和老外网友对线发现HM的黑料是什么样的体验？｜睡了没有Silvio,小冯不改了,2021-03-27 18:49:38,380,23,5,10
@H&amp;M，在？睁眼看看？这是新疆棉花大丰收的场景,大象新闻,2021-03-24 22:36:16,42802,1783,177,66
H&amp;M事件持续发酵，国际大牌被央媒点名，国货是否迎来爆发期？,账号注销3249291,2021-03-26 12:06:50,253,7,0,1
2分钟了解HM公司抵制新疆棉花的背后力量,疼了一下,2021-03-27 23:52:40,115,3,0,1
3月24日，HM抵制新疆棉花惹众怒，除此之外还有耐克、阿迪、优衣库等发表过相关言论,周樟壽,2021-03-28 19:58:35,52,1,2,1
HM、耐克等国外企业最终成为了欧美的政治枪手,秃头叔和朋友们,2021-03-28 10:00:02,196,6,0,0
金星成照妖镜，一番话怒揭外籍明星“假面”，新疆棉只是冰山一角,天下美人志,2021-04-08 09:20:58,32537,1626,150,89
HM、耐克抵制新疆棉花曝光，你横任你横，明月照大江,健身的呆木头,2021-03-26 09:29:43,35,0,0,0
新华热评|任何抹黑中国的企业，再大牌中国也不欢迎,新华社快看,2021-03-25 19:06:01,37408,4781,359,162
扒一扒【HM碰瓷新疆棉花】事件,十月的风不忧伤,2021-03-26 14:19:15,133,5,0,0
HM？✓？🐶都不买！！！,小书生_谢尘缘,2021-03-25 17:07:53,8196,642,54,42
有关hm和阿迪达斯抵制新疆棉花事情发声,QQ飞车最牛,2021-04-03 08:45:49,157,2,1,0
“我全身上下新疆棉”diss H&amp;M,认真做说唱的韦斯特,2021-03-26 20:31:45,16999,3288,183,291
高度机械化！高薪酬！听新疆棉农讲真实采棉,新华社快看,2021-03-24 21:49:55,33199,4688,246,219
"H&amp;M发表抵制新疆棉花:赚我钱还砸我锅,你是吊死鬼抹粉—死不要脸",袁来有理,2021-03-25 16:39:22,6851,187,13,7
管好自己就行了，不要为难打工人，支持新疆棉花和抵制HM、耐克、阿迪达斯也要讲方式,长安数码君,2021-03-25 19:02:00,109429,2909,390,133
【文囍爺】不要吃着中国人的饭，还砸着中国人的锅，没你，我们过的更好！,文囍爺,2021-03-30 19:00:16,53,1,0,0
众多品牌发声明抵制新疆棉。新疆一商场关闭H&amp;M门店并要求道歉！,四川观察,2021-03-25 14:22:30,116928,9131,422,222
【新疆棉花】抵制HM耐克等品牌 有没有发生过激抵制 为什么说理性爱国？小心不要被人士把对外矛盾转已成为对内矛盾,進击的小怪獣,2021-04-01 04:56:36,478,9,0,1
新疆小姐姐在HM门店外跳新疆舞，还给路人送新疆棉花，经理很无奈，网友：这种抵制方式太酷了！,bili_526044134,2021-03-27 13:19:24,195599,14469,572,681
李宁官宣肖战？新疆棉很软！资本心更黑 我们该如何支持国货,阿瑞CY,2021-03-28 16:34:32,243,15,8,1
EC019. HM、NIKE、BCI为什么要抵制新疆棉花？「禁用新疆棉花」西藏旅行暴怒！世事变化无常，美国能得意几时？,颓桑看世界,2021-03-27 12:06:20,246,4,2,2
HM背后的BCI到底是什么组织  深挖背后还有更多国际大牌,深圳卫视直新闻,2021-03-25 14:55:52,5763,227,28,28
旅游平台新疆搜索量一天涨近三倍，多名艺人多个国产品牌发声支持新疆棉【一张支持新疆棉的大长图：我们不仅支持新疆棉，也支持新疆旅游】,bili_526044134,2021-03-25 23:17:28,893,24,2,2
HM（瑞典的大荒谬）已经收拾东西走人了！耐克你有啥想说的！？（淘宝现状）,007帅呆了,2021-03-25 07:51:38,29891,356,104,4
HM诋毁新疆棉花引发国人众怒 线下体验店情况究竟如何？实地考察结果不出所料！,冲浪少年mzk,2021-04-03 20:21:53,115,5,1,2
NIKE× 国产✓,朵家军带刀侍卫_,2021-03-25 13:11:24,2890,48,22,7
在优衣库店内点踩会发生什么-新疆棉事发后优衣库等店的惨淡门面,嘉然今晚吃向晚i,2021-03-27 18:59:35,1663,17,11,2
小伙探访上海南京东路HM旗舰店，抵制新疆棉花后续来了…,笨鹅旅行记,2021-03-26 22:59:17,214,3,1,0
新疆采棉日赚300元，美国黑奴能有这待遇？欧美凭啥碰瓷中国棉,乔天下Joy,2021-04-21 15:39:36,1367,34,0,4
HM品牌抵制新疆棉花，国内明星黄轩宋茜赵丽颖马上和他解除代言,玩车坊,2021-03-28 10:15:12,59,1,0,0
支持新疆棉！,钽克手钡铊,2021-03-27 19:24:00,135,1,0,0
太给力！薇娅不收一分钱助力新疆棉，一小时卖出2352万产品,标签娱乐,2021-03-27 13:27:19,74,0,0,0
所有抵制新疆棉花，搞种族歧视的企业，“中国人是有骨气的！”,天一link熙熙楽,2021-03-25 08:27:18,2243,56,7,4
新疆棉事件，这是我对纺织行业的决策,斯坦福小K,2021-03-26 15:17:34,3679,262,12,157
